SN,Screen,Identity,Order,Change,Matching,Label,Response,Correct,RT
16,probe,Self,First,Same,Match,Self,Same,1,647.299999993993
16,label,Self,First,Same,Match,Self,Match,1,439.8999999940861
16,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,661.5
16,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,956.499999982072
16,probe,NA,,Different,,NA,Different,1,559.6999999999534
16,probe,NA,,Different,,NA,Different,1,543.4999999881256
16,probe,NA,,Different,,NA,Different,1,676.9999999881256
16,probe,Stranger,First,Same,Match,Stranger,Same,1,448.5999999761116
16,label,Stranger,First,Same,Match,Stranger,Match,1,470.299999976065
16,probe,NA,,Different,,NA,Different,1,852.0999999821652
16,probe,NA,,Different,,NA,Different,1,659.799999976065
16,probe,Self,First,Same,Match,Self,Same,1,716.6999999762047
16,label,Self,First,Same,Match,Self,Match,1,402.6999999820255
16,probe,NA,,Different,,NA,Different,1,613.4000000001397
16,probe,NA,,Different,,NA,Different,1,777.5999999879859
16,probe,NA,,Different,,NA,Different,1,979.099999987986
16,probe,NA,,Different,,NA,Different,1,543.8999999999069
16,probe,NA,,Different,,NA,Different,1,899.5999999940395
16,probe,NA,,Different,,NA,Different,1,568.8999999999069
16,probe,Self,First,Same,Match,Self,Same,1,443.69999999995343
16,label,Self,First,Same,Match,Self,Match,1,409.2999999821186
16,probe,NA,,Different,,NA,Same,0,995.1999999880792
16,probe,NA,,Different,,NA,Different,1,506.09999999403954
16,probe,Stranger,First,Same,Match,Stranger,Same,1,437.5
16,label,Stranger,First,Same,Match,Stranger,Match,1,443.8999999761581
16,probe,NA,,Different,,NA,Same,0,757.5
16,probe,NA,,Different,,NA,Different,1,543.0999999761116
16,probe,NA,,Different,,NA,Different,1,537.1000000000931
16,probe,Self,First,Same,Nonmatch,Stranger,Same,1,603.999999982072
16,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,481.0999999761116
16,probe,NA,,Different,,NA,Different,1,593.7999999821186
16,probe,Stranger,Second,Same,Match,Stranger,Same,1,506.4999999939464
16,label,Stranger,Second,Same,Match,Stranger,Match,1,542.5999999821652
16,probe,NA,,Different,,NA,Different,1,886.6999999762047
16,probe,Self,Second,Same,Match,Self,Same,1,395.80000000004657
16,label,Self,Second,Same,Match,Self,Match,1,413.3999999940861
16,probe,NA,,Different,,NA,Same,0,830.3000000000466
16,probe,Stranger,First,Same,Nonmatch,Self,Same,1,993.9999999939464
16,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,552.3000000000466
16,probe,NA,,Different,,NA,Different,1,802.8999999940861
16,probe,Stranger,First,Same,Nonmatch,Self,Same,1,448.09999998798594
16,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,551.3999999999069
16,probe,Stranger,First,Same,Nonmatch,Self,Same,1,597.5999999879859
16,label,Stranger,First,Same,Nonmatch,Self,Match,0,540.9999999939464
16,probe,NA,,Different,,NA,Different,1,622.5999999879859
16,probe,NA,,Different,,NA,Different,1,570.3999999761581
16,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,513.3999999999069
16,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,761.0999999879859
16,probe,Self,First,Same,Match,Self,Same,1,548.5
16,label,Self,First,Same,Match,Self,Match,1,446.5
16,probe,NA,,Different,,NA,Different,1,1064.699999988079
16,probe,NA,,Different,,NA,Different,1,656.0999999761116
16,probe,NA,,Different,,NA,Different,1,1559.699999988079
16,probe,NA,,Different,,NA,Different,1,640.2999999821186
16,probe,Stranger,Second,Same,Match,Stranger,Same,1,968.999999982072
16,label,Stranger,Second,Same,Match,Stranger,Nonmatch,0,943.499999982072
16,probe,Self,Second,Same,Match,Self,Same,1,623.1999999999534
16,label,Self,Second,Same,Match,Self,Match,1,413.9999999881256
16,probe,Self,Second,Same,Match,Self,Same,1,567.3999999880325
16,label,Self,Second,Same,Match,Self,Match,1,361.69999999995343
16,probe,Self,First,Same,Nonmatch,Stranger,Same,1,489.79999999399297
16,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,739.0999999761116
16,probe,Self,First,Same,Nonmatch,Stranger,Same,1,706.8000000000466
16,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,542.8999999940861
16,probe,Stranger,Second,Same,Match,Stranger,Same,1,469.4999999939464
16,label,Stranger,Second,Same,Match,Stranger,Match,1,521.8000000000466
16,probe,Self,First,Same,Match,Self,Same,1,644.799999976065
16,label,Self,First,Same,Match,Self,Match,1,485.1999999762047
16,probe,Stranger,First,Same,Match,Stranger,Same,1,403.1999999762047
16,label,Stranger,First,Same,Match,Stranger,Match,1,388.8999999940861
16,probe,Stranger,First,Same,Nonmatch,Self,Same,1,763.8999999940861
16,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,682.299999976065
16,probe,NA,,Different,,NA,Same,0,1718.8999999999069
16,probe,NA,,Different,,NA,Different,1,615.3999999880325
16,probe,Self,Second,Same,Match,Self,Same,1,510.3999999761581
16,label,Self,Second,Same,Match,Self,Match,1,373.0999999761116
18,probe,Self,First,Same,Match,Self,Same,1,1095.5999999761589
18,label,Self,First,Same,Match,Self,Match,1,1168.7000000000007
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,827.3999999940388
18,label,Stranger,Second,Same,Match,Stranger,Match,1,756.1999999821201
18,probe,NA,,Different,,NA,Different,1,998.4999999880783
18,probe,NA,,Different,,NA,Different,1,698.3000000000029
18,probe,NA,,Different,,NA,Different,1,744.3999999940424
18,probe,NA,,Different,,NA,Different,1,816.199999976161
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,1043.0999999821215
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,1332.199999976161
18,probe,NA,,Different,,NA,Different,1,776.9999999821157
18,probe,NA,,Different,,NA,Different,1,1331.9999999821157
18,probe,NA,,Different,,NA,Different,1,673.8999999821244
18,probe,Self,First,Same,Match,Self,Same,1,558.6000000000058
18,label,Self,First,Same,Match,Self,Match,1,472.3999999821244
18,probe,Stranger,First,Same,Match,Stranger,Different,0,812.1999999940454
18,label,Stranger,First,Same,Match,Stranger,Match,1,1323.299999988085
18,probe,NA,,Different,,NA,Different,1,1773.199999976161
18,probe,NA,,Different,,NA,Different,1,593.6999999821128
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,552.5
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,625.6999999880791
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,860.6999999821128
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,1213.899999976158
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,753.6000000000058
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,1316.699999988079
18,probe,NA,,Different,,NA,Different,1,1118.399999976158
18,probe,NA,,Different,,NA,Different,1,730.1999999880791
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,739.7999999880849
18,label,Stranger,Second,Same,Match,Stranger,Match,1,576.499999976164
18,probe,NA,,Different,,NA,Different,1,786.3999999761581
18,probe,NA,,Different,,NA,Same,0,785.999999976164
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,769.3999999821244
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,1069.6000000000058
18,probe,NA,,Different,,NA,Different,1,1136.2999999821186
18,probe,NA,,Different,,NA,Different,1,1007.4999999821302
18,probe,NA,,Different,,NA,Same,0,800.999999976164
18,probe,Self,First,Same,Match,Self,Same,1,785.4999999821302
18,label,Self,First,Same,Match,Self,Nonmatch,0,1126.7000000000116
18,probe,NA,,Different,,NA,Different,1,976.5999999761698
18,probe,NA,,Different,,NA,Different,1,542.2000000000116
18,probe,Stranger,First,Same,Match,Stranger,Same,1,881.8999999880907
18,label,Stranger,First,Same,Match,Stranger,Nonmatch,0,903.0999999761698
18,probe,NA,,Different,,NA,Same,0,856.4999999880674
18,probe,NA,,Different,,NA,Same,0,845.2000000000116
18,probe,NA,,Different,,NA,Same,0,1277.4999999821302
18,probe,NA,,Different,,NA,Different,1,605.8999999821244
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,656.599999982107
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,559.499999976164
18,probe,Self,First,Same,Match,Self,Same,1,775.7999999940512
18,label,Self,First,Same,Match,Self,Match,1,673.0999999761698
18,probe,NA,,Different,,NA,Different,1,702.9999999821302
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,599.2000000000116
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,584.7000000000116
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,574.2000000000116
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,589.9999999821302
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,806.4999999821302
18,label,Stranger,Second,Same,Match,Stranger,Match,1,1085.599999982107
18,probe,Stranger,First,Same,Nonmatch,Self,Different,0,822.6999999761465
18,label,Stranger,First,Same,Nonmatch,Self,Match,0,1327.6999999761465
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,771.6999999761465
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,632.4000000000233
18,probe,NA,,Different,,NA,Different,1,803.4999999880674
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,590.099999982107
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,565.0999999881024
18,probe,NA,,Different,,NA,Different,1,648.4000000000233
18,probe,Self,Second,Same,Match,Self,Same,1,708.2999999999884
18,label,Self,Second,Same,Match,Self,Match,1,554.7999999999884
18,probe,NA,,Different,,NA,Different,1,549.1999999761465
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,631.6999999821419
18,label,Stranger,Second,Same,Nonmatch,Self,Match,0,1204.7999999761814
18,probe,Self,Second,Same,Match,Self,Same,1,589.9999999940628
18,label,Self,Second,Same,Match,Self,Match,1,673.7999999821186
18,probe,NA,,Different,,NA,Different,1,632.5999999881024
18,probe,NA,,Different,,NA,Different,1,708.3000000000466
18,probe,Self,Second,Same,Match,Self,Same,1,847.5999999999767
18,label,Self,Second,Same,Match,Self,Match,1,641
18,probe,NA,,Different,,NA,Different,1,774.8999999761581
18,probe,NA,,Different,,NA,Different,1,728
18,probe,NA,,Different,,NA,Different,1,645.1999999880791
18,probe,NA,,Different,,NA,Different,1,562.2999999821186
18,probe,NA,,Different,,NA,Different,1,591.9999999821302
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,514.6999999940163
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,571.8999999820953
18,probe,NA,,Different,,NA,Different,1,586.3999999820953
18,probe,NA,,Different,,NA,Different,1,632.1999999940163
18,probe,Stranger,First,Same,Match,Stranger,Same,1,1178.0999999999767
18,label,Stranger,First,Same,Match,Stranger,Match,1,638.7999999940512
18,probe,NA,,Different,,NA,Same,0,1245.6999999999534
18,probe,Self,Second,Same,Match,Self,Different,0,579.2999999999302
18,label,Self,Second,Same,Match,Self,Match,1,710.0999999761698
18,probe,NA,,Different,,NA,Different,1,549.0999999999767
18,probe,NA,,Different,,NA,Different,1,928.2000000000116
18,probe,NA,,Different,,NA,Different,1,928.3999999880908
18,probe,NA,,Different,,NA,Same,0,1417.7000000000116
18,probe,Stranger,First,Same,Match,Stranger,Same,1,532.4999999761349
18,label,Stranger,First,Same,Match,Stranger,Match,1,620.1999999761465
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,1011.2999999880558
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,832.2999999880558
18,probe,NA,,Different,,NA,Different,1,579.1999999940163
18,probe,Stranger,First,Same,Nonmatch,Self,Different,0,867.9999999761349
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,1203.1999999940165
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,1908.399999994028
18,label,Stranger,Second,Same,Match,Stranger,Match,1,1183.4000000000233
18,probe,Stranger,First,Same,Match,Stranger,Same,1,780.8999999940861
18,label,Stranger,First,Same,Match,Stranger,Match,1,573.8999999940861
18,probe,Self,First,Same,Nonmatch,Stranger,Different,0,703.6999999821419
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,1271.4999999881256
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,853.3000000000466
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,967.4999999881256
18,probe,NA,,Different,,NA,Different,1,1018.7999999761814
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,847.9000000000233
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,570.0999999881024
18,probe,NA,,Different,,NA,Different,1,622.0999999940395
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,754.1999999999534
18,label,Stranger,Second,Same,Match,Stranger,Match,1,698.2999999821186
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,857.6999999821419
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,1348.0999999940395
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,822.8999999880325
18,label,Stranger,Second,Same,Match,Stranger,Match,1,503.49999997613486
18,probe,NA,,Different,,NA,Same,0,920.5
18,probe,Self,Second,Same,Match,Self,Same,1,1018.6999999999534
18,label,Self,Second,Same,Match,Self,Match,1,590.3999999820953
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,836.8999999880325
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,544.3999999880325
18,probe,Stranger,First,Same,Match,Stranger,Same,1,589.9999999881256
18,label,Stranger,First,Same,Match,Stranger,Match,1,544.3999999880325
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,889.8999999880325
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,447.6999999762047
18,probe,Self,First,Same,Match,Self,Same,1,573.9999999881256
18,label,Self,First,Same,Match,Self,Match,1,503.0999999821652
18,probe,NA,,Different,,NA,Same,0,772.1999999999534
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,656.9999999881256
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,827.8999999940861
18,probe,Self,Second,Same,Match,Self,Same,1,616.4999999881256
18,label,Self,Second,Same,Match,Self,Match,1,523.9999999881256
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,993.4999999881256
18,label,Self,First,Same,Nonmatch,Stranger,Match,0,1406.4999999881256
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,548.6999999762047
18,label,Stranger,Second,Same,Match,Stranger,Match,1,529.1000000000931
18,probe,NA,,Different,,NA,Different,1,585.499999982072
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,651.6999999999534
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,631.1999999999534
18,probe,Stranger,First,Same,Match,Stranger,Same,1,727.999999982072
18,label,Stranger,First,Same,Match,Stranger,Match,1,652.3999999940861
18,probe,NA,,Different,,NA,Different,1,631.499999982072
18,probe,NA,,Different,,NA,Different,1,897.8999999880325
18,probe,NA,,Different,,NA,Different,1,616.4999999761349
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,1080.999999982072
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,1128.299999993993
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,1147.8000000000466
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,1056.6999999999534
18,probe,NA,,Different,,NA,Different,1,719.999999982072
18,probe,NA,,Different,,NA,Different,1,777.5999999761116
18,probe,Self,First,Same,Match,Self,Same,1,905.8999999880324
18,label,Self,First,Same,Match,Self,Nonmatch,0,555.799999993993
18,probe,NA,,Different,,NA,Different,1,580.1999999821419
18,probe,Stranger,First,Same,Match,Stranger,Same,1,621.299999993993
18,label,Stranger,First,Same,Match,Stranger,Match,1,451.80000000004657
18,probe,NA,,Different,,NA,Same,0,1235.6999999762047
18,probe,NA,,Different,,NA,Different,1,599.9000000000233
18,probe,Self,Second,Same,Nonmatch,Stranger,Different,0,686.6999999762047
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,723.6999999762047
18,probe,NA,,Different,,NA,Different,1,517.6999999762047
18,probe,Self,First,Same,Match,Self,Same,1,907.5999999881024
18,label,Self,First,Same,Match,Self,Match,1,569.1999999821419
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,893.3999999820953
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,729.1999999999534
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,598.8999999761581
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,532.5999999821652
18,probe,NA,,Different,,NA,Different,1,816.9999999881256
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,489.7999999761814
18,label,Stranger,Second,Same,Match,Stranger,Match,1,512.4000000000233
18,probe,Self,Second,Same,Match,Self,Same,1,732.9999999940628
18,label,Self,Second,Same,Match,Self,Match,1,481.4999999940628
18,probe,Self,Second,Same,Match,Self,Different,0,1027.0999999761116
18,label,Self,Second,Same,Match,Self,Match,1,1388.5999999881024
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,723.8999999761581
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,590.0999999881024
18,probe,NA,,Different,,NA,Different,1,584.9000000000233
18,probe,NA,,Different,,NA,Different,1,470.59999999403954
18,probe,NA,,Different,,NA,Different,1,542.8999999761581
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,519.6999999880791
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,764.1999999940163
18,probe,NA,,Different,,NA,Different,1,1077.7999999821186
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,427.5999999999767
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,536.6999999940163
18,probe,NA,,Different,,NA,Different,1,856.3999999820953
18,probe,NA,,Different,,NA,Different,1,1262.5999999999767
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,1168.899999982095
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,808.1999999940163
18,probe,NA,,Different,,NA,Different,1,612.8999999820953
18,probe,NA,,Different,,NA,Different,1,1045.399999982095
18,probe,NA,,Different,,NA,Different,1,627.299999993993
18,probe,NA,,Different,,NA,Different,1,554.0000000001164
18,probe,NA,,Different,,NA,Different,1,672.3999999880325
18,probe,NA,,Different,,NA,Different,1,548.499999982072
18,probe,Self,First,Same,Match,Self,Same,1,618.8999999880325
18,label,Self,First,Same,Match,Self,Match,1,501.5999999821652
18,probe,NA,,Different,,NA,Different,1,552.8000000000466
18,probe,Self,Second,Same,Nonmatch,Stranger,Different,0,1206.6999999762047
18,label,Self,Second,Same,Nonmatch,Stranger,Match,0,1243.8000000000466
18,probe,Stranger,First,Same,Match,Stranger,Same,1,650.5999999821652
18,label,Stranger,First,Same,Match,Stranger,Match,1,521.3000000000466
18,probe,NA,,Different,,NA,Different,1,742.6999999762047
18,probe,NA,,Different,,NA,Different,1,644.0999999821652
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,835.1999999762047
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,630.3999999940861
18,probe,Self,Second,Same,Match,Self,Same,1,500.4999999940628
18,label,Self,Second,Same,Match,Self,Match,1,614.3000000000466
18,probe,Self,First,Same,Match,Self,Same,1,727.6999999821419
18,label,Self,First,Same,Match,Self,Match,1,598.5999999999767
18,probe,NA,,Different,,NA,Different,1,1537.2999999761814
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,864.9999999761349
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,618.2999999821186
18,probe,NA,,Different,,NA,Different,1,562.1999999940163
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,685.3999999880325
18,label,Stranger,Second,Same,Nonmatch,Self,Match,0,968.9999999762512
18,probe,Self,First,Same,Nonmatch,Stranger,Same,1,524.6999999941327
18,label,Self,First,Same,Nonmatch,Stranger,Nonmatch,1,551.1999999999534
18,probe,Stranger,First,Same,Match,Stranger,Different,0,1005.3999999880324
18,label,Stranger,First,Same,Match,Stranger,Match,1,1505.1000000000931
18,probe,NA,,Different,,NA,Same,0,584.5
18,probe,NA,,Different,,NA,Different,1,521.8999999761581
18,probe,NA,,Different,,NA,Different,1,618.9999999762513
18,probe,Stranger,Second,Same,Match,Stranger,Same,1,494.6999999941327
18,label,Stranger,Second,Same,Match,Stranger,Match,1,502.10000000009313
18,probe,Stranger,Second,Same,Nonmatch,Self,Same,1,1160.5999999940395
18,label,Stranger,Second,Same,Nonmatch,Self,Nonmatch,1,573.3999999822117
18,probe,Stranger,First,Same,Nonmatch,Self,Same,1,598.6999999941327
18,label,Stranger,First,Same,Nonmatch,Self,Nonmatch,1,470.60000000009313
18,probe,NA,,Different,,NA,Same,0,723.1000000000931
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,1160.4999999762513
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,624.0999999821652
18,probe,NA,,Different,,NA,Different,1,593.6999999999534
18,probe,Self,Second,Same,Nonmatch,Stranger,Same,1,623.1999999941327
18,label,Self,Second,Same,Nonmatch,Stranger,Nonmatch,1,582.1999999941327
18,probe,Self,First,Same,Match,Self,Same,1,701.8999999880325
18,label,Self,First,Same,Match,Self,Match,1,547.7999999881722
18,probe,Stranger,First,Same,Match,Stranger,Same,1,541.6999999999534
18,label,Stranger,First,Same,Match,Stranger,Match,1,392.39999999990687
